datetime,ticker,n_contracts,side,curr_ask,ev
2024-04-09T11:07:29.391685,INX-24APR09-B5112,87.0,no,96,2.6097128356631742
2024-04-09T11:07:29.450117,INX-24APR09-B5162,1480.0,yes,27,12.41348425608853
2024-04-09T11:07:29.503492,INX-24APR09-B5187,323.0,yes,32,3.210553266522325
2024-04-09T11:07:29.558759,INX-24APR09-B5212,204.0,no,85,5.395992029228921
2024-04-09T11:08:00.779374,INX-24APR09-B5112,2.0,no,97,1.6163821789087507
2024-04-09T11:08:00.840327,INX-24APR09-B5162,85.0,yes,26,13.43901201469589
2024-04-09T11:08:00.894088,INX-24APR09-B5187,11.0,yes,33,2.2270196197772236
2024-04-09T11:08:00.948470,INX-24APR09-B5212,14.0,no,83,7.411618929343788
2024-04-09T11:08:01.004568,INX-24APR09-B5237,3.0,no,97,2.2200604270758646
2024-04-09T11:09:00.825707,INX-24APR09-B5162,10.0,yes,26,13.487887790627404
2024-04-09T11:09:00.883757,INX-24APR09-B5187,1.0,yes,33,2.258503486258988
2024-04-09T11:09:00.938567,INX-24APR09-B5212,1.0,no,83,7.4415620427266305
2024-04-09T11:11:00.902176,INX-24APR09-B5162,6.0,yes,26,9.28165531042142
2024-04-09T11:11:00.955126,INX-24APR09-B5187,3.0,yes,33,6.616618049749071
2024-04-09T11:18:00.788910,INX-24APR09-B5162,3.0,yes,24,12.5677490380628
2024-04-09T11:19:00.801707,INX-24APR09-B5162,13.0,yes,23,9.635315277914216
2024-04-09T11:19:00.857356,INX-24APR09-B5187,5.0,yes,36,5.88980814077167
2024-04-09T11:19:00.910704,INX-24APR09-B5212,2.0,no,79,5.235381244168224
2024-04-09T11:20:00.843264,INX-24APR09-B5162,2.0,yes,23,8.050232236805009
2024-04-09T11:20:00.897176,INX-24APR09-B5187,1.0,yes,36,6.730292137348371
2024-04-09T11:46:00.783834,INX-24APR09-B5162,3.0,yes,22,9.801170467910232
2024-04-09T11:48:00.780155,INX-24APR09-B5162,1.0,yes,22,4.879099996716839
2024-04-09T11:49:00.811642,INX-24APR09-B5162,1.0,yes,22,3.6843750950028316
2024-04-09T11:49:00.863358,INX-24APR09-B5187,1.0,yes,40,6.334833960880715
2024-04-09T11:51:00.730827,INX-24APR09-B5137,1.0,no,94,2.888282366586793
2024-04-09T11:51:00.785782,INX-24APR09-B5162,8.0,yes,21,3.0242008183850153
2024-04-09T11:51:00.842359,INX-24APR09-B5187,9.0,yes,40,6.621330463477406
2024-04-09T11:51:00.900993,INX-24APR09-B5212,1.0,no,75,1.8655486928672786
2024-04-09T11:58:00.816031,INX-24APR09-B5162,4.0,yes,20,4.333829362766586
2024-04-09T11:58:00.878152,INX-24APR09-B5187,3.0,yes,41,6.190708532248095
2024-04-09T12:02:00.745453,INX-24APR09-B5137,1.0,no,94,2.815668217066033
2024-04-09T12:02:00.799904,INX-24APR09-B5162,13.0,yes,20,5.220437457767826
2024-04-09T12:02:00.863921,INX-24APR09-B5187,8.0,yes,41,6.45937816590078
2024-04-09T12:02:00.918826,INX-24APR09-B5212,2.0,no,75,3.382883702984415
2024-04-09T12:14:00.727068,INX-24APR09-B5162,27.0,yes,14,7.59124106449385
2024-04-09T12:14:00.784788,INX-24APR09-B5187,12.0,yes,39,9.562450085265269
2024-04-09T12:14:00.840412,INX-24APR09-B5212,7.0,no,66,9.226228483774307
2024-04-09T12:14:00.902135,INX-24APR09-B5237,1.0,no,95,2.1977825228469925
2024-04-09T12:15:00.801549,INX-24APR09-B5162,1.0,yes,15,1.5162993961965263
2024-04-09T12:15:00.859918,INX-24APR09-B5187,1.0,yes,41,6.24164677726769
2024-04-09T12:35:00.687497,INX-24APR09-B5162,4.0,yes,12,3.4117698932546734
2024-04-09T12:35:00.744090,INX-24APR09-B5187,3.0,yes,41,7.885540048423167
2024-04-09T12:35:00.802010,INX-24APR09-B5212,1.0,no,63,6.149256929101938
2024-04-09T12:36:00.686568,INX-24APR09-B5187,7.0,yes,41,6.852698815575586
2024-04-09T12:36:00.743503,INX-24APR09-B5212,2.0,no,63,3.826971354560868
2024-04-09T12:54:01.238571,INX-24APR09-B5162,-1661.0,yes,20,0
2024-04-09T12:55:00.717896,INX-24APR09-B5137,72.0,no,95,3.2225163043885914
2024-04-09T12:55:00.778948,INX-24APR09-B5187,371.0,yes,45,7.862880901178656
2024-04-09T12:55:00.832945,INX-24APR09-B5212,78.0,no,77,2.8547730035513865
2024-04-09T12:56:00.765325,INX-24APR09-B5162,4.0,yes,22,5.926674492209823
2024-04-09T12:56:00.821732,INX-24APR09-B5187,2.0,yes,45,7.097926978064713
2024-04-09T12:56:00.873829,INX-24APR09-B5212,1.0,no,76,7.413413284005884
2024-04-09T13:26:00.951547,INX-24APR09-B5162,-4.0,yes,14,0
2024-04-09T13:43:01.063280,INX-24APR09-B5212,-313.0,no,76,0
2024-04-09T13:43:01.063366,INX-24APR09-B5237,-4.0,no,99,0
2024-04-09T13:44:00.662049,INX-24APR09-B5162,68.0,no,85,1.5854992158613612
2024-04-09T13:44:00.718608,INX-24APR09-B5187,309.0,yes,54,4.550620593666778
2024-04-09T13:45:01.009833,INX-24APR09-B5162,-68.0,no,83,0
2024-04-09T13:46:00.626269,INX-24APR09-B5162,42.0,yes,18,1.6516084627997394
2024-04-09T13:46:00.680086,INX-24APR09-B5187,54.0,yes,54,6.369695434574467
2024-04-09T13:46:00.736088,INX-24APR09-B5212,25.0,no,77,4.150600271103855
2024-04-09T13:47:00.611188,INX-24APR09-B5162,1.0,yes,18,3.374203702189668
2024-04-09T13:49:00.740051,INX-24APR09-B5162,5.0,yes,18,2.780426848307748
2024-04-09T13:49:00.795256,INX-24APR09-B5187,4.0,yes,54,6.809040333134355
2024-04-09T13:49:00.854694,INX-24APR09-B5212,2.0,no,78,4.646727124472093
2024-04-09T14:01:01.137477,INX-24APR09-B5162,-48.0,yes,22,0
2024-04-09T14:02:00.654823,INX-24APR09-B5137,2.0,no,96,3.498296189080179
2024-04-09T14:02:00.710215,INX-24APR09-B5162,1.0,no,76,2.3035866769544953
2024-04-09T14:02:00.766239,INX-24APR09-B5187,9.0,yes,54,8.938688503238396
2024-04-09T14:04:01.149978,INX-24APR09-B5162,-1.0,no,74,0
2024-04-09T14:05:00.730302,INX-24APR09-B5162,2.0,yes,23,8.728142753178702
2024-04-09T14:17:00.952076,INX-24APR09-B5162,-2.0,yes,18,0
2024-04-09T15:12:00.960873,INX-24APR09-B5187,-1137.0,yes,53,0
2024-04-09T15:13:00.571890,INX-24APR09-B5162,1046.0,yes,37,10.091240611691163
