datetime,cash,capital
first,90000,90000
2024-04-11T09:36:07.284641,18138.0,82116.0
2024-04-11T09:37:01.543923,21417.0,85839.0
2024-04-11T09:38:01.470098,17282.0,85276.0
2024-04-11T09:39:01.544541,17125.0,84947.0
2024-04-11T09:40:01.370841,17100.0,88923.0
2024-04-11T09:41:01.497027,17100.0,90453.0
2024-04-11T09:42:01.795338,17100.0,86823.0
2024-04-11T09:43:01.464675,17100.0,89160.0
2024-04-11T09:44:01.339166,17100.0,90688.0
2024-04-11T09:45:01.431819,17100.0,95195.0
2024-04-11T09:46:01.550330,17100.0,89516.0
2024-04-11T09:47:01.512516,17100.0,91862.0
2024-04-11T09:48:01.430377,17100.0,91862.0
2024-04-11T09:49:01.572678,17100.0,92218.0
2024-04-11T09:50:01.486590,17100.0,91862.0
2024-04-11T09:51:01.328450,17100.0,90690.0
2024-04-11T09:52:01.355431,17100.0,90690.0
2024-04-11T09:53:01.361655,17100.0,88806.0
2024-04-11T09:54:01.330122,17100.0,90692.0
2024-04-11T09:55:01.317870,17264.0,85831.0
2024-04-11T09:56:01.246298,17226.0,85469.0
2024-04-11T09:57:01.310595,17198.0,90690.0
2024-04-11T09:58:01.267970,17198.0,90099.0
2024-04-11T09:59:01.318821,17198.0,84284.0
2024-04-11T10:00:01.328694,17071.0,88556.0
2024-04-11T10:01:01.328979,17071.0,94971.0
2024-04-11T10:02:01.244813,17071.0,101386.0
2024-04-11T10:03:01.259762,17071.0,105091.0
2024-04-11T10:04:01.368453,17071.0,100209.0
2024-04-11T10:05:01.300783,17071.0,101386.0
2024-04-11T10:06:01.317608,17071.0,109973.0
2024-04-11T10:07:01.465192,17071.0,105447.0
2024-04-11T10:08:01.230558,17071.0,113914.0
2024-04-11T10:09:01.318932,17071.0,110565.0
2024-04-11T10:10:01.351089,17071.0,114270.0
2024-04-11T10:11:01.386969,17071.0,114270.0
2024-04-11T10:12:01.292128,17071.0,122973.0
2024-04-11T10:13:01.343961,17071.0,124506.0
2024-04-11T10:14:01.310135,17071.0,124506.0
2024-04-11T10:15:01.492894,17071.0,116275.0
2024-04-11T10:16:01.326324,17071.0,132973.0
2024-04-11T10:17:01.401543,17071.0,134926.0
2024-04-11T10:18:01.331712,17071.0,136103.0
2024-04-11T10:19:01.397037,17071.0,131221.0
2024-04-11T10:20:01.398863,17071.0,132754.0
2024-04-11T10:21:01.343586,17071.0,127636.0
2024-04-11T10:22:01.312350,17071.0,120582.0
2024-04-11T10:23:01.288832,17071.0,124287.0
2024-04-11T10:24:01.333499,17071.0,120582.0
2024-04-11T10:25:01.354370,17071.0,119169.0
2024-04-11T10:26:01.412524,17071.0,119169.0
2024-04-11T10:27:01.220436,17071.0,119169.0
2024-04-11T10:28:01.339106,17071.0,127636.0
2024-04-11T10:29:01.451099,17071.0,123931.0
2024-04-11T10:30:01.343081,17071.0,124287.0
2024-04-11T10:31:01.294419,17071.0,120346.0
2024-04-11T10:32:01.405810,17071.0,111340.0
2024-04-11T10:33:01.250271,17071.0,117992.0
2024-04-11T10:34:01.376234,17071.0,115820.0
2024-04-11T10:35:01.248788,17071.0,115820.0
2024-04-11T10:36:01.281360,17071.0,119169.0
2024-04-11T10:37:01.328631,17071.0,115820.0
2024-04-11T10:38:01.465129,17071.0,110702.0
2024-04-11T10:39:01.330685,17071.0,110702.0
2024-04-11T10:40:01.550206,17071.0,106578.0
2024-04-11T10:41:01.411160,17071.0,101696.0
2024-04-11T10:42:01.351240,17071.0,100466.0
2024-04-11T10:43:01.362477,17071.0,101643.0
2024-04-11T10:44:01.463903,17071.0,100466.0
2024-04-11T10:45:01.504749,17071.0,101407.0
2024-04-11T10:46:01.444148,17071.0,91763.0
2024-04-11T10:47:01.360233,17071.0,95112.0
2024-04-11T10:48:01.697621,17071.0,91763.0
2024-04-11T10:49:01.414334,17071.0,91763.0
2024-04-11T10:50:01.426824,17071.0,96289.0
2024-04-11T10:51:01.366442,17071.0,95112.0
2024-04-11T10:52:01.458088,17071.0,96409.0
2024-04-11T10:53:01.416557,17071.0,96409.0
2024-04-11T10:54:01.426027,17071.0,96409.0
2024-04-11T10:55:01.588862,17071.0,96409.0
2024-04-11T10:56:01.513097,17071.0,96409.0
2024-04-11T10:57:01.403981,17071.0,96645.0
2024-04-11T10:58:01.391594,17071.0,96409.0
2024-04-11T10:59:01.442907,17071.0,96409.0
2024-04-11T11:00:01.535056,17071.0,98062.0
2024-04-11T11:01:01.330112,17071.0,97121.0
2024-04-11T11:02:01.336740,17071.0,96529.0
2024-04-11T11:03:01.429636,17071.0,89878.0
2024-04-11T11:04:01.299186,17071.0,89878.0
2024-04-11T11:05:01.356223,17071.0,89878.0
2024-04-11T11:06:01.523363,17071.0,91055.0
2024-04-11T11:07:01.457738,17071.0,91175.0
2024-04-11T11:08:01.350656,17071.0,97826.0
