datetime,ticker,n_contracts,side,curr_ask,ev
2024-04-12T10:31:46.708168,INX-24APR12-B5087,83.0,no,96,1.8041904661922814
2024-04-12T10:31:46.761720,INX-24APR12-B5137,1568.0,yes,21,7.406673307382174
2024-04-12T10:31:46.813409,INX-24APR12-B5162,674.0,yes,29,4.399466867760552
2024-04-12T10:31:46.871255,INX-24APR12-B5187,131.0,no,79,2.3319948014511738
2024-04-12T10:31:46.923508,INX-24APR12-B5212,98.0,no,93,2.0510137255694616
2024-04-12T10:32:00.845041,INX-24APR12-B5137,15.0,yes,21,7.412535233154614
2024-04-12T10:32:00.902624,INX-24APR12-B5162,6.0,yes,29,4.409966458305121
2024-04-12T10:32:00.957963,INX-24APR12-B5187,1.0,no,79,2.333377969074732
2024-04-12T10:33:00.867724,INX-24APR12-B5137,1.0,yes,21,6.437275734933365
2024-04-12T12:21:01.285255,INX-24APR12-B5162,-680.0,yes,24,0
2024-04-12T12:22:00.783242,INX-24APR12-B5112,201.0,yes,19,7.702336494680274
2024-04-12T12:22:00.841969,INX-24APR12-B5137,125.0,yes,33,8.327684717059718
2024-04-12T12:22:00.895325,INX-24APR12-B5162,29.0,no,74,4.343779225497599
2024-04-12T12:22:00.955896,INX-24APR12-B5187,28.0,no,91,5.188862948177871
2024-04-12T12:23:00.867334,INX-24APR12-B5112,1.0,yes,19,2.425502622670095
2024-04-12T12:23:00.920246,INX-24APR12-B5137,3.0,yes,33,8.374794058100228
2024-04-12T12:24:00.831435,INX-24APR12-B5137,1.0,yes,33,8.460118821608027
2024-04-12T12:24:01.254403,INX-24APR12-B5162,-29.0,no,74,0
2024-04-12T12:25:00.821802,INX-24APR12-B5087,2.0,no,94,1.9515166500290775
2024-04-12T12:25:00.896509,INX-24APR12-B5112,16.0,yes,20,2.5768524353643905
2024-04-12T12:25:00.959102,INX-24APR12-B5137,33.0,yes,33,8.715888783356746
2024-04-12T12:25:01.031234,INX-24APR12-B5187,5.0,no,91,3.7268350425287906
2024-04-12T12:26:00.880782,INX-24APR12-B5137,1.0,yes,33,8.690461537715649
2024-04-12T12:27:00.887820,INX-24APR12-B5137,1.0,yes,33,8.651772095691875
2024-04-12T12:33:00.889719,INX-24APR12-B5112,1.0,yes,24,4.535237343590058
2024-04-12T12:33:00.943754,INX-24APR12-B5137,2.0,yes,32,9.895114005837783
2024-04-12T12:39:00.918708,INX-24APR12-B5112,2.0,yes,26,8.44295590049034
2024-04-12T12:39:00.979072,INX-24APR12-B5137,3.0,yes,29,10.615718394214241
2024-04-12T12:40:01.027461,INX-24APR12-B5112,13.0,yes,26,12.292181328426253
2024-04-12T12:40:01.082184,INX-24APR12-B5137,5.0,yes,30,6.261756534733713
2024-04-12T12:40:01.149506,INX-24APR12-B5162,2.0,no,83,6.374169218332582
2024-04-12T12:48:00.925393,INX-24APR12-B5112,1.0,yes,28,10.994552430553526
2024-04-12T12:48:00.994841,INX-24APR12-B5137,1.0,yes,29,7.496514660221926
2024-04-12T13:21:00.840527,INX-24APR12-B5112,3.0,yes,31,12.918331570243154
2024-04-12T13:21:00.893589,INX-24APR12-B5137,2.0,yes,28,7.12440741202095
2024-04-12T13:22:00.914887,INX-24APR12-B5087,1.0,no,81,5.981014817796591
2024-04-12T13:22:00.968710,INX-24APR12-B5112,5.0,yes,31,13.018950119554823
2024-04-12T13:22:01.025995,INX-24APR12-B5137,4.0,yes,27,8.161859322316758
2024-04-12T13:23:00.990970,INX-24APR12-B5112,7.0,yes,31,15.570545147760484
2024-04-12T13:23:01.042835,INX-24APR12-B5137,2.0,yes,26,4.534348711711978
2024-04-12T13:24:00.972319,INX-24APR12-B5112,4.0,yes,32,15.430645878443528
2024-04-12T13:25:00.983017,INX-24APR12-B5112,1.0,yes,32,15.714359620730946
2024-04-12T13:26:00.912152,INX-24APR12-B5112,7.0,yes,33,15.266095827072803
2024-04-12T13:26:00.975466,INX-24APR12-B5162,1.0,no,91,5.915244479775751
2024-04-12T13:30:00.901274,INX-24APR12-B5112,1.0,yes,33,16.009247831748795
2024-04-12T13:30:01.320086,INX-24APR12-B5087,-86.0,no,78,0
2024-04-12T13:30:01.320164,INX-24APR12-B5137,-1767.0,yes,24,0
2024-04-12T13:31:00.730832,INX-24APR12-B5062,113.0,no,93,5.011576357417525
2024-04-12T13:31:00.801435,INX-24APR12-B5112,929.0,yes,34,15.065357897698817
2024-04-12T13:31:00.860725,INX-24APR12-B5162,74.0,no,94,3.321730870544883
2024-04-12T13:32:00.823317,INX-24APR12-B5112,4.0,yes,34,15.261284821987104
2024-04-12T13:33:00.962316,INX-24APR12-B5112,5.0,yes,34,15.193962422448514
2024-04-12T13:34:00.950020,INX-24APR12-B5112,3.0,yes,34,15.337282038501733
2024-04-12T13:49:00.857892,INX-24APR12-B5112,2.0,yes,33,8.490990523367287
2024-04-12T13:49:00.916546,INX-24APR12-B5137,3.0,yes,31,11.63986442147123
2024-04-12T13:50:00.972604,INX-24APR12-B5112,1.0,yes,33,8.565670870941581
2024-04-12T13:50:01.047598,INX-24APR12-B5137,2.0,yes,30,12.724106625567096
2024-04-12T13:51:01.068979,INX-24APR12-B5112,1.0,yes,32,9.566803118426051
2024-04-12T13:51:01.126648,INX-24APR12-B5137,1.0,yes,31,11.880006621453987
2024-04-12T13:52:00.947492,INX-24APR12-B5112,2.0,yes,33,8.64130491588918
2024-04-12T13:52:01.013304,INX-24APR12-B5137,3.0,yes,31,11.965548618897664
2024-04-12T14:10:00.835946,INX-24APR12-B5112,1.0,yes,33,7.7112031808601245
2024-04-12T14:10:00.890062,INX-24APR12-B5137,2.0,yes,32,14.674431359130757
2024-04-12T14:39:01.156395,INX-24APR12-B5137,-11.0,yes,25,0
2024-04-12T15:48:01.086074,INX-24APR12-B5112,-1211.0,yes,65,0
2024-04-12T15:49:00.659082,INX-24APR12-B5087,67.0,no,97,2.995841388255812
2024-04-12T15:49:00.712595,INX-24APR12-B5112,548.0,yes,66,16.508473286360953
2024-04-12T15:49:00.770009,INX-24APR12-B5137,393.0,no,70,12.562813479266893
2024-04-12T15:50:00.630691,INX-24APR12-B5137,6.0,no,53,29.318936145894284
2024-04-12T15:51:00.606070,INX-24APR12-B5112,29.0,no,31,3.19864443598307
2024-04-12T15:51:01.102517,INX-24APR12-B5112,-577.0,yes,70,0
2024-04-12T15:51:01.102595,INX-24APR12-B5137,-399.0,no,74,0
2024-04-12T15:52:00.617020,INX-24APR12-B5112,667.0,no,31,2.295667108702432
2024-04-12T15:52:00.673517,INX-24APR12-B5137,1678.0,yes,28,5.2126711992066035
2024-04-12T15:53:00.603287,INX-24APR12-B5112,14.0,yes,79,6.708199236351632
2024-04-12T15:53:00.683366,INX-24APR12-B5137,12.0,no,80,5.763278610435961
2024-04-12T15:53:01.084692,INX-24APR12-B5112,-681.0,no,21,0
2024-04-12T15:53:01.084768,INX-24APR12-B5137,-1690.0,yes,20,0
2024-04-12T15:54:00.574467,INX-24APR12-B5112,359.0,yes,86,7.989346442160809
2024-04-12T15:54:00.629225,INX-24APR12-B5137,218.0,no,89,5.020776165274327
2024-04-12T15:55:00.599790,INX-24APR12-B5112,3.0,yes,90,8.354181840385806
2024-04-12T15:55:00.655121,INX-24APR12-B5137,2.0,no,93,5.3660157008498715
2024-04-12T15:56:00.574162,INX-24APR12-B5112,9.0,yes,79,18.255911230817432
2024-04-12T15:56:00.628814,INX-24APR12-B5137,6.0,no,84,13.276266970062693
