datetime,ticker,n_contracts,side,curr_ask,ev
2024-04-10T12:02:03.733054,INX-24APR10-T5100,209.0,no,95,2.1475000726608613
2024-04-10T12:02:03.791254,INX-24APR10-B5137,1056.0,yes,29,3.30103657583237
2024-04-10T12:02:03.843292,INX-24APR10-B5162,583.0,yes,31,1.949299581046553
2024-04-10T12:02:03.898900,INX-24APR10-B5187,134.0,no,84,1.221493927874647
2024-04-10T12:03:00.755786,INX-24APR10-T5100,1.0,no,95,1.8638383091802098
2024-04-10T12:03:00.809274,INX-24APR10-B5137,9.0,yes,29,3.9991113316910756
2024-04-10T12:03:00.865568,INX-24APR10-B5162,3.0,yes,31,1.3477357220805715
2024-04-10T12:04:00.809989,INX-24APR10-B5112,1.0,yes,13,1.6042044364827532
2024-04-10T12:04:00.864397,INX-24APR10-B5137,1.0,yes,29,3.9577558066158502
2024-04-10T12:05:00.875070,INX-24APR10-B5137,1.0,yes,28,3.4206384059088144
2024-04-10T12:06:00.797353,INX-24APR10-B5112,2.0,yes,11,1.6309857432023023
2024-04-10T12:06:00.851868,INX-24APR10-B5137,2.0,yes,28,3.4646267808096525
2024-04-10T12:06:00.909883,INX-24APR10-B5162,1.0,yes,32,2.0130035434280416
2024-04-10T12:07:01.219963,INX-24APR10-B5187,-134.0,no,83,0
2024-04-10T12:07:01.220046,INX-24APR10-B5112,-3.0,yes,13,0
2024-04-10T12:08:00.828123,INX-24APR10-T5100,32.0,no,96,2.045053189043628
2024-04-10T12:08:00.881286,INX-24APR10-B5137,126.0,yes,28,2.3467914725906844
2024-04-10T12:08:00.938563,INX-24APR10-B5162,137.0,yes,32,2.9194536211614874
2024-04-10T12:09:00.847658,INX-24APR10-B5137,3.0,yes,29,2.6482734520008187
2024-04-10T12:09:00.901208,INX-24APR10-B5162,2.0,yes,32,2.151078967321716
2024-04-10T12:57:00.854320,INX-24APR10-B5137,1.0,yes,26,2.729800286516344
2024-04-10T12:57:00.909377,INX-24APR10-B5162,2.0,yes,33,7.104024275370001
2024-04-10T12:58:00.895557,INX-24APR10-B5137,1.0,yes,26,2.2444890062169165
2024-04-10T12:58:00.945943,INX-24APR10-B5162,4.0,yes,33,7.347385580508657
2024-04-10T12:59:01.005527,INX-24APR10-B5162,1.0,yes,33,7.47258020997355
2024-04-10T13:00:00.944899,INX-24APR10-B5137,2.0,yes,25,3.1807064631398028
2024-04-10T13:00:00.998882,INX-24APR10-B5162,4.0,yes,33,7.571703036011584
2024-04-10T13:01:00.908079,INX-24APR10-B5162,2.0,yes,33,7.839855949070895
2024-04-10T13:02:00.946016,INX-24APR10-B5162,1.0,yes,33,7.94188455680203
2024-04-10T13:15:01.067246,INX-24APR10-B5162,-740.0,yes,27,0
2024-04-10T13:16:00.728743,INX-24APR10-T5100,67.0,no,92,5.828046519178741
2024-04-10T13:16:00.784909,INX-24APR10-B5137,217.0,yes,34,6.925083183478158
2024-04-10T13:16:00.841569,INX-24APR10-B5162,148.0,yes,28,3.8857026859048496
2024-04-10T13:16:00.895636,INX-24APR10-B5187,14.0,no,91,1.1935992776187305
2024-04-10T13:21:00.854510,INX-24APR10-B5137,3.0,yes,30,5.802663680752559
2024-04-10T13:21:00.909526,INX-24APR10-B5162,2.0,yes,34,4.998673115988844
2024-04-10T13:21:00.965290,INX-24APR10-B5187,1.0,no,82,5.04044800536154
2024-04-10T13:22:00.823488,INX-24APR10-B5137,4.0,yes,27,6.237731870826323
2024-04-10T13:22:00.878853,INX-24APR10-B5162,3.0,yes,35,5.9215866598932365
2024-04-10T13:22:00.934116,INX-24APR10-B5187,1.0,no,80,4.720415834704738
2024-04-10T13:23:00.763954,INX-24APR10-B5137,16.0,yes,21,7.633965195558552
2024-04-10T13:23:00.820130,INX-24APR10-B5162,10.0,yes,35,8.044560224457982
2024-04-10T13:23:00.875062,INX-24APR10-B5187,3.0,no,75,5.491494191557905
2024-04-10T13:23:00.928570,INX-24APR10-B5212,3.0,no,91,6.369944886970416
2024-04-10T13:24:00.747104,INX-24APR10-B5112,2.0,no,95,1.8732958876389176
2024-04-10T13:24:00.799573,INX-24APR10-B5162,26.0,yes,35,8.629383466481805
2024-04-10T13:24:00.856434,INX-24APR10-B5212,3.0,no,92,3.2050472342207854
2024-04-10T13:25:00.809710,INX-24APR10-B5162,1.0,yes,35,8.830250883711521
2024-04-10T13:26:00.865479,INX-24APR10-B5162,5.0,yes,35,8.724530976461686
2024-04-10T13:26:00.921009,INX-24APR10-B5212,1.0,no,91,3.9782112874076176
2024-04-10T13:26:01.266160,INX-24APR10-B5187,-19.0,no,73,0
2024-04-10T13:27:00.756302,INX-24APR10-B5112,1.0,no,95,1.9239548223523713
