datetime,market,ev,bid,ask
2024-04-12T09:30:02.292855,INX-24APR12-B5062,-3.9972614969117237,1,4
2024-04-12T09:30:02.293101,INX-24APR12-B5087,-6.936725714220435,4,7
2024-04-12T09:30:02.293315,INX-24APR12-B5112,-11.231854477956091,9,12
2024-04-12T09:30:02.293503,INX-24APR12-B5137,-15.082133151431883,16,20
2024-04-12T09:30:02.293692,INX-24APR12-B5162,-9.33904915013844,22,26
2024-04-12T09:30:02.293887,INX-24APR12-B5187,5.946110747497922,21,24
2024-04-12T09:30:02.294072,INX-24APR12-B5212,14.595242814270392,11,14
2024-04-12T09:30:02.294227,INX-24APR12-B5237,9.50479736110447,3,5
2024-04-12T10:04:22.559426,INX-24APR12-B5087,-2.908845703783279,3,4
2024-04-12T10:04:22.559647,INX-24APR12-B5112,-3.2069240689312126,8,10
2024-04-12T10:04:22.559831,INX-24APR12-B5137,1.1206683633259011,18,20
2024-04-12T10:04:22.560001,INX-24APR12-B5162,4.900809552737925,25,28
2024-04-12T10:04:22.560164,INX-24APR12-B5187,0.7134464834935841,23,25
2024-04-12T10:04:22.560330,INX-24APR12-B5212,-2.9252802831551072,11,13
2024-04-12T10:04:22.560493,INX-24APR12-B5237,-2.0265244340406516,2,4
2024-04-12T10:07:18.618962,INX-24APR12-B5087,-3.591119851099376,4,5
2024-04-12T10:07:18.619126,INX-24APR12-B5112,-2.874969775618627,10,11
2024-04-12T10:07:18.619249,INX-24APR12-B5137,3.283981700788992,19,20
2024-04-12T10:07:18.619362,INX-24APR12-B5162,6.2597156222237516,26,27
2024-04-12T10:07:18.619487,INX-24APR12-B5187,0.7084858525901545,22,23
2024-04-12T10:07:18.619597,INX-24APR12-B5212,-2.575527656970145,10,11
2024-04-12T10:08:01.564222,INX-24APR12-B5087,-3.5983063128662067,4,5
2024-04-12T10:08:01.564486,INX-24APR12-B5112,-2.889102277381033,10,11
2024-04-12T10:08:01.564719,INX-24APR12-B5137,2.2903617159266396,19,21
2024-04-12T10:08:01.564935,INX-24APR12-B5162,6.291464142350378,25,27
2024-04-12T10:08:01.565143,INX-24APR12-B5187,0.7158001398592333,22,23
2024-04-12T10:08:01.565349,INX-24APR12-B5212,-2.5895971659888897,10,11
2024-04-12T15:14:43.148614,INX-24APR12-B5087,-10.988933642276116,24,26
2024-04-12T15:14:43.148769,INX-24APR12-B5112,20.321731197127434,55,56
2024-04-12T15:14:43.148896,INX-24APR12-B5137,-8.408471603662267,15,17
2024-04-12T15:15:00.693532,INX-24APR12-B5087,-10.066130424099526,23,25
2024-04-12T15:15:00.693672,INX-24APR12-B5112,20.469640038582654,55,56
2024-04-12T15:15:00.693803,INX-24APR12-B5137,-8.477532634694992,15,17
2024-04-12T15:16:08.512128,INX-24APR12-B5087,-11.368899368359596,24,26
2024-04-12T15:16:08.512305,INX-24APR12-B5112,21.04726954078754,55,56
2024-04-12T15:16:08.512429,INX-24APR12-B5137,-7.746460066351897,15,16
2024-04-12T15:17:00.736441,INX-24APR12-B5087,-7.174564953260255,25,27
2024-04-12T15:17:00.736674,INX-24APR12-B5112,18.8007519005768,55,56
2024-04-12T15:17:00.736871,INX-24APR12-B5137,-9.713563780853406,14,15
2024-04-12T15:18:00.892267,INX-24APR12-B5087,-11.097243393832105,26,30
2024-04-12T15:18:00.892504,INX-24APR12-B5112,17.6818899183164,56,58
2024-04-12T15:18:00.892703,INX-24APR12-B5137,-8.66198333908088,11,14
2024-04-12T15:19:01.238692,INX-24APR12-B5087,-3.918990456460964,22,25
2024-04-12T15:19:01.238903,INX-24APR12-B5112,15.575449066381978,57,59
2024-04-12T15:19:01.239046,INX-24APR12-B5137,-11.740387503558754,14,16
2024-04-12T15:20:00.789837,INX-24APR12-B5087,-4.42676583402714,18,21
2024-04-12T15:20:00.789974,INX-24APR12-B5112,16.70973644328876,59,61
2024-04-12T15:20:00.790095,INX-24APR12-B5137,-12.343183637701621,17,18
2024-04-12T15:21:00.890627,INX-24APR12-B5087,-6.601620237988875,15,17
2024-04-12T15:21:00.890854,INX-24APR12-B5112,20.352640311009793,59,60
2024-04-12T15:21:00.891049,INX-24APR12-B5137,-13.79742865456888,20,23
2024-04-12T15:22:00.810970,INX-24APR12-B5087,-7.894686874859362,15,18
2024-04-12T15:22:00.811168,INX-24APR12-B5112,20.93060566460842,59,60
2024-04-12T15:22:00.811346,INX-24APR12-B5137,-12.080004346767574,19,21
2024-04-12T15:23:00.817420,INX-24APR12-B5087,-11.702370377758282,15,19
2024-04-12T15:23:00.817617,INX-24APR12-B5112,21.199046739779064,59,60
2024-04-12T15:23:00.817794,INX-24APR12-B5137,-9.539757901450677,19,21
2024-04-12T15:24:00.786603,INX-24APR12-B5087,-8.191054109167748,15,16
2024-04-12T15:24:00.786797,INX-24APR12-B5112,21.033155111093635,59,61
2024-04-12T15:24:00.786974,INX-24APR12-B5137,-11.88256574437189,21,22
2024-04-12T15:25:00.862902,INX-24APR12-B5087,-10.130888981413873,14,16
2024-04-12T15:25:00.863067,INX-24APR12-B5112,21.894962648073502,59,60
2024-04-12T15:25:00.863211,INX-24APR12-B5137,-11.804794590198442,23,24
2024-04-12T15:26:01.004946,INX-24APR12-B5087,-9.900108289399402,13,15
2024-04-12T15:26:01.005198,INX-24APR12-B5112,23.057523781793805,58,59
2024-04-12T15:26:01.005427,INX-24APR12-B5137,-13.197504848835973,23,26
2024-04-12T15:27:01.138538,INX-24APR12-B5087,-13.874323389497663,15,18
2024-04-12T15:27:01.138733,INX-24APR12-B5112,20.745481947654923,60,61
2024-04-12T15:27:01.138906,INX-24APR12-B5137,-8.91162563709589,19,23
