datetime,cash,capital
2024-04-22T11:44:01.036549,90779.0,99392.0
2024-04-22T11:45:01.086268,90779.0,99419.0
2024-04-22T11:46:01.084265,90779.0,99401.0
2024-04-22T11:47:01.049345,90779.0,99365.0
2024-04-22T11:48:01.089648,90779.0,99219.0
2024-04-22T11:49:01.022164,90779.0,98974.0
2024-04-22T11:50:01.097791,90779.0,98983.0
2024-04-22T11:51:01.053864,90779.0,98965.0
2024-04-22T11:52:01.182873,90779.0,98745.0
2024-04-22T11:53:01.187944,90779.0,98527.0
2024-04-22T11:54:01.225604,90779.0,98228.0
2024-04-22T11:55:01.230021,90779.0,98037.0
2024-04-22T11:56:01.124980,90779.0,98028.0
2024-04-22T11:57:01.190171,90779.0,98089.0
2024-04-22T11:58:01.170924,90779.0,98098.0
2024-04-22T11:59:01.384058,90779.0,98044.0
2024-04-22T12:00:01.716060,92219.0,98017.0
2024-04-22T12:01:01.614216,91079.0,97897.0
2024-04-22T12:02:01.178814,92276.0,98007.0
2024-04-22T12:03:01.173432,92276.0,98007.0
2024-04-22T12:04:01.263577,90876.0,97813.0
2024-04-22T12:05:01.240434,90876.0,97831.0
2024-04-22T12:06:01.376956,90876.0,97883.0
2024-04-22T12:07:01.258497,90876.0,97640.0
2024-04-22T12:08:01.271597,90876.0,97692.0
2024-04-22T12:09:01.291912,90876.0,97692.0
2024-04-22T12:10:01.563853,90876.0,97692.0
2024-04-22T12:11:01.256051,90876.0,97640.0
2024-04-22T12:12:01.756344,90876.0,97595.0
2024-04-22T12:13:01.228519,90876.0,97640.0
2024-04-22T12:14:01.212806,90876.0,97710.0
2024-04-22T12:15:01.550448,90876.0,97516.0
2024-04-22T12:16:01.313485,90876.0,97246.0
2024-04-22T12:17:01.284207,90876.0,97343.0
2024-04-22T12:18:01.118289,90876.0,97352.0
2024-04-22T12:19:01.257719,90876.0,97492.0
2024-04-22T12:20:01.169763,90876.0,97501.0
2024-04-22T12:21:01.384914,90876.0,97431.0
2024-04-22T12:22:01.226646,90876.0,97431.0
2024-04-22T12:23:01.266848,90876.0,97458.0
2024-04-22T12:24:01.480835,90876.0,97676.0
2024-04-22T12:25:01.281404,90876.0,97773.0
2024-04-22T12:26:01.234335,90876.0,97755.0
2024-04-22T12:27:01.286796,90876.0,97631.0
2024-04-22T12:28:01.294318,90876.0,97561.0
2024-04-22T12:29:01.256441,90876.0,97561.0
2024-04-22T12:30:01.283876,90876.0,97658.0
2024-04-22T12:31:01.246120,90876.0,97831.0
2024-04-22T12:32:01.225697,90876.0,97910.0
2024-04-22T12:33:01.232735,90876.0,97910.0
2024-04-22T12:34:01.194647,90876.0,97937.0
2024-04-22T12:35:01.218247,90876.0,97840.0
2024-04-22T12:36:01.282172,90876.0,97525.0
2024-04-22T12:37:01.216359,90876.0,97552.0
2024-04-22T12:38:01.219594,90876.0,97428.0
2024-04-22T12:39:01.279598,90876.0,97428.0
2024-04-22T12:40:01.257748,90876.0,97280.0
2024-04-22T12:41:01.252992,90876.0,97568.0
2024-04-22T12:42:01.581866,90876.0,97350.0
2024-04-22T12:43:01.401891,90876.0,97253.0
2024-04-22T12:44:01.226555,90876.0,97235.0
2024-04-22T12:45:01.309055,90876.0,97235.0
2024-04-22T12:46:01.293571,90876.0,97208.0
2024-04-22T12:47:01.303564,90876.0,97226.0
2024-04-22T12:48:01.139828,90876.0,97138.0
2024-04-22T12:49:01.135928,90876.0,97120.0
2024-04-22T12:50:01.752226,90876.0,97120.0
2024-04-22T12:51:01.186452,90876.0,97120.0
2024-04-22T12:52:01.353655,90876.0,97102.0
2024-04-22T12:53:01.134602,90876.0,97120.0
2024-04-22T12:54:01.132445,90876.0,97174.0
2024-04-22T12:55:01.141276,90876.0,97095.0
2024-04-22T12:56:01.057332,90876.0,97050.0
2024-04-22T12:57:01.199644,90876.0,97068.0
2024-04-22T12:58:01.128710,90876.0,97095.0
2024-04-22T12:59:01.129370,90876.0,97068.0
2024-04-22T13:00:01.195566,90876.0,97034.0
2024-04-22T13:01:01.124085,90876.0,97032.0
2024-04-22T13:02:01.107989,90876.0,96989.0
2024-04-22T13:03:01.143300,90876.0,96980.0
2024-04-22T13:04:02.158324,90876.0,97061.0
2024-04-22T13:05:01.098948,90876.0,97052.0
2024-04-22T13:06:01.013387,90876.0,97343.0
2024-04-22T13:07:01.124457,90876.0,97158.0
2024-04-22T13:08:01.022889,90876.0,97264.0
2024-04-22T13:09:01.082196,90876.0,97246.0
2024-04-22T13:10:01.149246,90876.0,97131.0
2024-04-22T13:11:01.043545,90876.0,97361.0
2024-04-22T13:12:01.496177,90876.0,97176.0
2024-04-22T13:13:01.028963,90876.0,97291.0
2024-04-22T13:14:00.997058,94026.0,97406.0
2024-04-22T13:15:00.956245,94026.0,97325.0
2024-04-22T13:16:01.001863,94026.0,97309.0
2024-04-22T13:17:00.987575,94026.0,97282.0
2024-04-22T13:18:00.956542,94026.0,97282.0
2024-04-22T13:19:01.007438,94026.0,96873.0
2024-04-22T13:20:01.061762,94026.0,96900.0
2024-04-22T13:21:01.163319,94026.0,96873.0
2024-04-22T13:22:01.081833,94026.0,96873.0
2024-04-22T13:23:01.037442,94026.0,96846.0
2024-04-22T13:24:01.151452,94026.0,96846.0
2024-04-22T13:25:01.196897,91478.0,96693.0
2024-04-22T13:26:01.160874,92948.0,96886.0
2024-04-22T13:27:01.178893,89406.0,96259.0
2024-04-22T13:28:01.192859,89406.0,96115.0
2024-04-22T13:29:01.063721,89406.0,96305.0
2024-04-22T13:30:01.138402,89406.0,95521.0
2024-04-22T13:31:01.317153,86586.0,94772.0
2024-04-22T13:32:01.166066,86586.0,94930.0
2024-04-22T13:33:01.261638,86586.0,94957.0
2024-04-22T13:34:01.241677,86586.0,95355.0
2024-04-22T13:35:01.450373,86586.0,95445.0
2024-04-22T13:36:01.215998,86586.0,95583.0
2024-04-22T13:37:01.477702,86586.0,94995.0
2024-04-22T13:38:01.116581,86586.0,95014.0
2024-04-22T13:39:01.204226,86586.0,94824.0
2024-04-22T13:40:01.197289,86586.0,94634.0
2024-04-22T13:41:01.483169,86586.0,94759.0
2024-04-22T13:42:01.197365,86586.0,94027.0
2024-04-22T13:43:01.164513,86586.0,94027.0
2024-04-22T13:44:01.061451,86586.0,94092.0
2024-04-22T13:45:01.268473,86586.0,93975.0
2024-04-22T13:46:01.211602,86586.0,94257.0
2024-04-22T13:47:01.133204,86586.0,94257.0
2024-04-22T13:48:01.209630,86586.0,94067.0
2024-04-22T13:49:01.164977,86586.0,95251.0
2024-04-22T13:50:01.167577,86586.0,95630.0
2024-04-22T13:51:01.221129,86586.0,95611.0
2024-04-22T13:52:01.088587,88341.0,98349.0
2024-04-22T13:53:01.138275,97311.0,102219.0
2024-04-22T13:54:01.084177,97381.0,101998.0
2024-04-22T13:55:00.998041,97381.0,101952.0
2024-04-22T13:56:01.021520,96421.0,102189.0
2024-04-22T13:57:01.023608,96421.0,101919.0
2024-04-22T13:58:01.015088,96421.0,101999.0
2024-04-22T13:59:01.018394,96421.0,101781.0
2024-04-22T14:00:01.525779,95646.0,101878.0
2024-04-22T14:01:01.086204,95646.0,101731.0
2024-04-22T14:02:01.132726,95646.0,101707.0
2024-04-22T14:03:01.102108,95646.0,101609.0
2024-04-22T14:04:01.016472,95646.0,101492.0
2024-04-22T14:05:01.123559,95646.0,101492.0
2024-04-22T14:06:01.107634,95646.0,101250.0
2024-04-22T14:07:01.139928,95646.0,101274.0
2024-04-22T14:08:01.064050,95646.0,101568.0
2024-04-22T14:09:01.157995,95646.0,101663.0
2024-04-22T14:10:01.157109,95646.0,101540.0
2024-04-22T14:11:01.152220,95646.0,101687.0
2024-04-22T14:12:01.189140,95646.0,101372.0
2024-04-22T14:13:01.138308,95646.0,101423.0
2024-04-22T14:14:01.177439,95646.0,101545.0
2024-04-22T14:15:01.179977,95646.0,101616.0
2024-04-22T14:16:01.114745,95646.0,101229.0
2024-04-22T14:17:01.147059,95646.0,101615.0
2024-04-22T14:18:01.101904,95646.0,101833.0
2024-04-22T14:19:01.155115,95646.0,101569.0
2024-04-22T14:20:01.184624,95646.0,101762.0
2024-04-22T14:21:00.926439,95646.0,102366.0
2024-04-22T14:22:00.995475,100224.0,102752.0
2024-04-22T14:23:01.034928,97264.0,102337.0
2024-04-22T14:24:01.009798,97264.0,102485.0
2024-04-22T14:25:01.046604,97264.0,102660.0
2024-04-22T14:26:01.050428,97264.0,102220.0
2024-04-22T14:27:01.013070,97264.0,102491.0
2024-04-22T14:28:01.002383,97264.0,102343.0
2024-04-22T14:29:01.018558,97264.0,102435.0
2024-04-22T14:30:01.102627,97264.0,102164.0
2024-04-22T14:31:01.003701,97264.0,102343.0
2024-04-22T14:32:00.926712,97264.0,102226.0
2024-04-22T14:33:01.029292,97264.0,102374.0
2024-04-22T14:34:00.994237,97264.0,102032.0
2024-04-22T14:35:01.044274,97264.0,102226.0
2024-04-22T14:36:01.056491,97264.0,102328.0
2024-04-22T14:37:01.041224,97264.0,101961.0
2024-04-22T14:38:01.002732,97264.0,102134.0
2024-04-22T14:39:00.998955,97264.0,101792.0
2024-04-22T14:40:00.972612,97264.0,101100.0
2024-04-22T14:41:00.985569,97264.0,101236.0
2024-04-22T14:42:01.082448,97264.0,101280.0
2024-04-22T14:43:00.993909,97264.0,101485.0
2024-04-22T14:44:01.070133,97264.0,101725.0
2024-04-22T14:45:01.173810,97264.0,101704.0
2024-04-22T14:46:01.085896,97264.0,101485.0
2024-04-22T14:47:01.048099,97264.0,101694.0
2024-04-22T14:48:01.047561,97264.0,101694.0
2024-04-22T14:49:01.008657,97264.0,101669.0
2024-04-22T14:50:01.116883,97264.0,101598.0
2024-04-22T14:51:01.008497,97264.0,101740.0
2024-04-22T14:52:00.982056,97264.0,101669.0
2024-04-22T14:53:00.964202,97264.0,101974.0
2024-04-22T14:54:01.167119,97264.0,101642.0
2024-04-22T14:55:01.095136,97264.0,101544.0
2024-04-22T14:56:01.155241,97264.0,101354.0
2024-04-22T14:57:01.056354,97264.0,100886.0
2024-04-22T14:58:01.078608,97264.0,101074.0
2024-04-22T14:59:01.073205,97264.0,100886.0
2024-04-22T15:00:01.038570,97264.0,100738.0
2024-04-22T15:01:01.004052,97264.0,100757.0
2024-04-22T15:02:00.880699,97264.0,100847.0
2024-04-22T15:03:01.183506,97264.0,100847.0
2024-04-22T15:04:01.041684,97264.0,100847.0
2024-04-22T15:05:00.998875,97264.0,100945.0
2024-04-22T15:06:01.091752,97264.0,100970.0
2024-04-22T15:07:01.056392,97264.0,100899.0
2024-04-22T15:08:00.931511,97264.0,100970.0
